sst,department,storage
b all,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B all]
b bub,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B bub]
b clk,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B clk]
b csc,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B csc]
b fem,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B fem]
b geo,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B geo]
b his,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B his]
b hwd,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B hwd]
b kun,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B kun]
b lit,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B lit]
b mus,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B mus]
b mwi,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B mwi]
b osn,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B osn]
b pae,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B pae]
b phi,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B phi]
b psy,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B psy]
b rel,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B rel]
b spo,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B spo]
b sta,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B sta]
b tec,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B tec]
b,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B]
b-igb-referenzwerke,@b,Referenzwerke der Islamischen Gelehrtenbibliothek in der Bibliothek Alte Münze (2. OG) [B-IGB-Referenzwerke]
b-ikfn,@b,Bibliothek des Interdisziplinären Instituts für Kulturgeschichte der Frühen Neuzeit (IKFN) [B-IKFN]
b-ikfn-altdrucke,@b,B-IKFN-Altdrucke [B-IKFN-Altdrucke]
b-imis,@b,Bibliothek des Instituts für Migrationsforschung und Interkulturelle Studien (IMIS) [B-IMIS]
b-freihand-magazin,@b,Freihand-Magazin Bibliothek Alte Münze (UG) [B-Freihand-Magazin]
b-kartenschrank,@b,Kartensammlung Bibliothek Alte Münze (3.OG) [B-Kartenschrank]
b-lesesaal 1,@b,Lesesaal 1. OG in der Bereichsbibliothek Philologien / Kulturwissenschaften [B-Lesesaal 1]
b-lesesaal 2,@b,Lesesaal 2. OG in der Bereichsbibliothek Philologien / Kulturwissenschaften [B-Lesesaal 2]
b-lesesaal 3,@b,Lesesaal 3. OG in der Bereichsbibliothek Philologien / Kulturwissenschaften [B-Lesesaal 3]
b-magazin,@b,Magazin Bibliothek Alte Münze [B-Magazin]
b-mediothek,@b,Mediothek Bibliothek Alte Münze [B-Mediothek]
b-schulbuchsammlung,@b,Schulbuchsammlung Bibliothek Alte Münze (UG) [B-Schulbuchsammlung]
b-testothek,@b,Testothek Bibliothek Alte Münze [B-Testothek]
b-zimeliensaal,@b,Zimeliensaal Bibliothek Alte Münze; Altbau [B-Zimeliensaal]
bibliothek rengstorf,@b,Nachlass Rengstorf im Magazin der Bibliothek Alte Münze [Bibliothek Rengstorf]
bibliothek wittler,@b,Nachlass Wittler im Magazin der Bibliothek Alte Münze [Bibliothek Wittler]
c-2,@b,Alte Geschichte und Archäologie [C-2]
c-3,@b,Kartensammlung Geographie [C-3]
c-4,@b,Handbibliothek Geographie [C-4]
d,@,Dienstexemplare UB [D]
dl-1,@,Diathek Kunstgeschichte [DL-1]
e-1,@,Berufspädagogik [E-1]
e-2,@,AV-Sammlung Sport [E-2]
e-3,@,AV-Sammlung Ev. Theologie [E-3]
e-4,@,Pädagogik [E-4]
e-5,@,Sachunterricht [E-5]
e-6,@,Examensapparat Ev. Theologie [E-6]
f,@,Gleichstellungsbüro [F]
g all,@g,Bereichsbibliothek Sozialwissenschaften [G all]
g bbg,@g,Bereichsbibliothek Sozialwissenschaften [G bbg]
g his,@g,Bereichsbibliothek Sozialwissenschaften [G his]
g jzs,@g,Bereichsbibliothek Sozialwissenschaften [G jzs]
g sow,@g,Bereichsbibliothek Sozialwissenschaften [G sow]
g sta,@g,Bereichsbibliothek Sozialwissenschaften [G sta]
g vwl,@g,Bereichsbibliothek Sozialwissenschaften [G vwl]
g,@g,Bereichsbibliothek Sozialwissenschaften [G]
g-freihand-magazin,@g,Freihand-Magazin der Bereichsbibliothek Sozialwissenschaften [G-Freihand-Magazin]
g-lb,@g,Lehrbuchsammlung der Bereichsbibliothek Sozialwissenschaften [G-LB]
g-magazin,@g,Magazin der Bereichsbibliothek Sozialwissenschaften [G-Magazin]
g-medienschrank,@g,Medienschrank der Bereichsbibliothek Sozialwissenschaften [G-Medienschrank]
g-raraschrank,@g,Raraschrank der Bereichsbibliothek Sozialwissenschaften [G-Raraschrank]
igb-referenzwerke,@b,Referenzwerke der Islamischen Gelehrtenbibliothek in der Bibliothek Alte Münze (2. OG) [IGB-Referenzwerke]
